,value
2021-02-02 01:05:52,76
2021-02-02 01:06:02,68
2021-02-02 01:06:07,67
2021-02-02 01:06:17,64
2021-02-02 01:06:22,61
2021-02-02 01:06:32,59
2021-02-02 01:06:37,58
2021-02-02 01:06:42,58
2021-02-02 01:06:52,57
2021-02-02 01:06:57,53
2021-02-02 01:07:12,53
2021-02-02 01:07:27,53
2021-02-02 01:07:37,54
2021-02-02 01:07:42,53
2021-02-02 01:07:52,52
2021-02-02 01:07:57,50
2021-02-02 01:08:07,50
2021-02-02 01:09:06,49
2021-02-02 01:09:21,49
2021-02-02 01:09:31,50
2021-02-02 01:09:36,49
2021-02-02 01:09:51,50
2021-02-02 01:09:56,49
2021-02-02 01:10:01,50
2021-02-02 01:10:11,51
2021-02-02 01:10:16,54
2021-02-02 01:10:21,57
2021-02-02 01:10:26,59
2021-02-02 01:10:31,61
2021-02-02 01:10:36,63
2021-02-02 01:10:41,65
2021-02-02 01:10:51,66
2021-02-02 01:10:56,67
2021-02-02 01:11:01,62
2021-02-02 01:11:06,61
2021-02-02 01:11:21,61
2021-02-02 01:11:26,60
2021-02-02 01:11:31,59
2021-02-02 01:11:36,58
2021-02-02 01:11:46,56
2021-02-02 01:11:56,55
2021-02-02 01:12:11,54
2021-02-02 01:12:16,54
2021-02-02 01:12:26,55
2021-02-02 01:12:31,57
2021-02-02 01:12:36,58
2021-02-02 01:12:46,59
2021-02-02 01:12:56,60
2021-02-02 01:13:01,61
2021-02-02 01:13:06,60
2021-02-02 01:13:11,58
2021-02-02 01:13:16,56
2021-02-02 01:13:21,55
2021-02-02 01:13:26,54
2021-02-02 01:13:31,52
2021-02-02 01:13:46,54
2021-02-02 01:13:51,64
2021-02-02 01:13:56,62
2021-02-02 01:14:01,59
2021-02-02 01:14:06,58
2021-02-02 01:14:11,57
2021-02-02 01:14:16,53
2021-02-02 01:14:21,52
2021-02-02 01:14:26,51
2021-02-02 01:14:31,51
2021-02-02 01:14:36,51
2021-02-02 01:14:41,50
2021-02-02 01:14:56,50
2021-02-02 01:15:01,51
2021-02-02 01:15:06,53
2021-02-02 01:15:11,55
2021-02-02 01:15:16,56
2021-02-02 01:15:21,58
2021-02-02 01:15:26,65
2021-02-02 01:15:31,74
2021-02-02 01:15:36,80
2021-02-02 01:15:41,86
2021-02-02 01:15:46,89
2021-02-02 01:16:01,87
2021-02-02 01:16:11,88
2021-02-02 01:16:21,91
2021-02-02 01:16:26,92
2021-02-02 01:16:31,94
2021-02-02 01:16:36,95
2021-02-02 01:16:46,94
2021-02-02 01:17:01,96
2021-02-02 01:17:06,95
2021-02-02 01:17:11,95
2021-02-02 01:17:16,94
2021-02-02 01:17:21,94
2021-02-02 01:17:31,95
2021-02-02 01:17:36,97
2021-02-02 01:17:41,98
2021-02-02 01:17:51,98
2021-02-02 01:18:06,98
2021-02-02 01:18:21,90
2021-02-02 01:18:26,90
2021-02-02 01:18:41,91
2021-02-02 01:18:51,92
2021-02-02 01:19:01,94
2021-02-02 01:19:06,93
2021-02-02 01:19:11,94
2021-02-02 01:19:16,94
2021-02-02 01:19:31,94
2021-02-02 01:19:46,94
2021-02-02 01:19:51,95
2021-02-02 01:19:56,97
2021-02-02 01:20:01,97
2021-02-02 01:20:11,96
2021-02-02 01:20:21,96
2021-02-02 01:20:26,96
2021-02-02 01:20:36,95
2021-02-02 01:20:41,93
2021-02-02 01:20:51,94
2021-02-02 01:21:01,93
2021-02-02 01:21:11,92
2021-02-02 01:21:16,89
2021-02-02 01:21:21,88
2021-02-02 01:21:26,90
2021-02-02 01:21:31,92
2021-02-02 01:21:36,93
2021-02-02 01:21:51,92
2021-02-02 01:22:06,92
2021-02-02 01:22:11,92
2021-02-02 01:22:21,92
2021-02-02 01:22:36,92
2021-02-02 01:22:46,93
2021-02-02 01:22:51,94
2021-02-02 01:22:56,95
2021-02-02 01:23:01,96
2021-02-02 01:23:16,96
2021-02-02 01:23:31,97
2021-02-02 01:23:41,97
2021-02-02 01:23:46,96
2021-02-02 01:23:56,95
2021-02-02 01:24:01,94
2021-02-02 01:24:06,95
2021-02-02 01:24:16,94
2021-02-02 01:24:21,91
2021-02-02 01:24:26,91
2021-02-02 01:24:36,90
2021-02-02 01:24:46,91
2021-02-02 01:24:51,92
2021-02-02 01:25:01,83
2021-02-02 01:25:06,81
2021-02-02 01:25:21,81
2021-02-02 01:25:26,82
2021-02-02 01:25:31,83
2021-02-02 01:25:36,85
2021-02-02 01:25:41,86
2021-02-02 01:25:46,85
2021-02-02 01:25:51,83
2021-02-02 01:26:01,82
2021-02-02 01:26:06,68
2021-02-02 01:26:11,67
2021-02-02 01:26:16,68
2021-02-02 01:26:21,71
2021-02-02 01:26:26,72
2021-02-02 01:26:31,72
2021-02-02 01:26:36,73
2021-02-02 01:26:41,75
2021-02-02 01:26:46,78
2021-02-02 01:26:51,79
2021-02-02 01:26:56,80
2021-02-02 01:27:01,79
2021-02-02 01:27:06,78
2021-02-02 01:27:11,77
2021-02-02 01:27:16,78
2021-02-02 01:27:26,78
2021-02-02 01:27:31,78
2021-02-02 01:27:36,79
2021-02-02 01:27:41,80
2021-02-02 01:27:46,82
2021-02-02 01:28:01,82
2021-02-02 01:28:11,83
2021-02-02 01:28:16,84
2021-02-02 01:28:21,83
2021-02-02 01:28:26,82
2021-02-02 01:28:31,79
2021-02-02 01:28:36,76
2021-02-02 01:28:41,77
2021-02-02 01:28:46,69
2021-02-02 01:28:51,65
2021-02-02 01:29:01,63
2021-02-02 01:29:06,59
2021-02-02 01:29:11,56
2021-02-02 01:29:16,55
2021-02-02 01:29:26,56
2021-02-02 01:29:41,56
2021-02-02 01:29:51,57
2021-02-02 01:29:56,58
2021-02-02 01:30:01,59
2021-02-02 01:30:16,60
2021-02-02 01:30:21,61
2021-02-02 01:30:26,58
