,value
2021-02-02 01:17:37,48
2021-02-02 01:17:47,49
2021-02-02 01:17:52,50
2021-02-02 01:17:58,49
2021-02-02 01:18:03,51
2021-02-02 01:18:13,51
2021-02-02 01:18:18,49
2021-02-02 01:18:28,50
2021-02-02 01:18:33,51
2021-02-02 01:18:48,50
2021-02-02 01:19:03,50
2021-02-02 01:19:18,50
2021-02-02 01:19:23,51
2021-02-02 01:19:33,50
2021-02-02 01:19:48,50
2021-02-02 01:20:03,50
2021-02-02 01:20:08,51
2021-02-02 01:20:23,51
2021-02-02 01:20:28,50
2021-02-02 01:20:43,50
2021-02-02 01:20:48,52
2021-02-02 01:20:53,51
2021-02-02 01:21:08,51
2021-02-02 01:21:13,52
2021-02-02 01:21:18,51
2021-02-02 01:21:23,50
2021-02-02 01:21:28,49
2021-02-02 01:21:43,49
2021-02-02 01:21:48,49
2021-02-02 01:21:57,50
2021-02-02 01:22:12,50
2021-02-02 01:22:17,49
2021-02-02 01:22:27,50
2021-02-02 01:22:32,49
2021-02-02 01:22:37,48
2021-02-02 01:22:47,49
2021-02-02 01:22:52,51
2021-02-02 01:23:07,50
2021-02-02 01:23:22,49
2021-02-02 01:23:32,50
2021-02-02 01:23:47,51
2021-02-02 01:24:02,50
2021-02-02 01:24:12,51
2021-02-02 01:24:27,50
2021-02-02 01:24:32,49
2021-02-02 01:24:37,48
2021-02-02 01:24:52,49
2021-02-02 01:24:57,50
2021-02-02 01:25:12,50
2021-02-02 01:25:27,50
2021-02-02 01:25:32,49
2021-02-02 01:25:37,48
2021-02-02 01:25:42,49
2021-02-02 01:25:47,51
2021-02-02 01:25:57,50
2021-02-02 01:26:12,50
2021-02-02 01:26:17,50
2021-02-02 01:26:22,51
2021-02-02 01:26:27,50
2021-02-02 01:26:42,50
2021-02-02 01:26:57,51
2021-02-02 01:27:02,50
2021-02-02 01:27:12,49
2021-02-02 01:27:22,50
2021-02-02 01:27:37,50
2021-02-02 01:27:47,52
2021-02-02 01:27:52,51
2021-02-02 01:28:07,50
2021-02-02 01:28:17,51
2021-02-02 01:28:32,51
2021-02-02 01:28:37,50
2021-02-02 01:28:42,49
2021-02-02 01:28:57,50
2021-02-02 01:29:02,51
2021-02-02 01:29:17,51
2021-02-02 01:29:22,50
2021-02-02 01:29:37,50
2021-02-02 01:29:42,51
2021-02-02 01:29:47,52
2021-02-02 01:29:57,51
2021-02-02 01:30:02,50
2021-02-02 01:30:17,50
2021-02-02 01:30:22,51
2021-02-02 01:30:27,50
2021-02-02 01:30:42,50
2021-02-02 01:30:47,51
2021-02-02 01:30:57,50
2021-02-02 01:31:07,50
2021-02-02 01:31:17,51
2021-02-02 01:31:27,68
2021-02-02 01:31:32,65
2021-02-02 01:31:37,58
