,value
2021-02-02 03:53:34,66
2021-02-02 03:53:39,79
2021-02-02 03:53:44,82
2021-02-02 03:53:49,79
2021-02-02 03:53:54,78
2021-02-02 03:53:59,75
2021-02-02 03:54:04,64
2021-02-02 03:54:09,59
2021-02-02 03:54:14,57
2021-02-02 03:54:19,56
2021-02-02 03:54:24,55
2021-02-02 03:54:34,54
2021-02-02 03:54:39,56
2021-02-02 03:54:44,61
2021-02-02 03:54:49,64
2021-02-02 03:54:54,61
2021-02-02 03:54:59,55
2021-02-02 03:55:04,53
2021-02-02 03:55:09,54
2021-02-02 03:55:14,54
2021-02-02 03:55:19,55
2021-02-02 03:55:24,54
2021-02-02 03:55:29,53
2021-02-02 03:55:34,52
2021-02-02 03:55:39,55
2021-02-02 03:55:44,56
2021-02-02 03:55:49,57
2021-02-02 03:55:54,56
2021-02-02 03:55:59,57
2021-02-02 03:56:04,59
2021-02-02 03:56:09,58
2021-02-02 03:56:14,58
2021-02-02 03:56:19,59
2021-02-02 03:56:24,69
2021-02-02 03:56:29,71
2021-02-02 03:56:34,73
2021-02-02 03:56:39,74
2021-02-02 03:56:54,74
2021-02-02 03:57:04,74
2021-02-02 03:57:09,63
2021-02-02 03:57:14,54
2021-02-02 03:57:19,52
2021-02-02 03:57:24,52
2021-02-02 03:57:29,57
2021-02-02 03:57:34,61
2021-02-02 03:57:44,70
2021-02-02 03:57:49,76
2021-02-02 03:57:54,71
2021-02-02 03:57:59,69
2021-02-02 03:58:04,67
2021-02-02 03:58:09,61
2021-02-02 03:58:14,57
2021-02-02 03:58:19,56
2021-02-02 03:58:24,59
2021-02-02 03:58:29,62
2021-02-02 03:58:34,63
2021-02-02 03:58:44,64
2021-02-02 03:58:49,65
2021-02-02 03:58:59,75
2021-02-02 03:59:04,82
2021-02-02 03:59:09,80
2021-02-02 03:59:14,78
2021-02-02 03:59:19,65
2021-02-02 03:59:24,58
2021-02-02 03:59:29,57
2021-02-02 03:59:44,56
2021-02-02 03:59:49,55
2021-02-02 03:59:54,55
2021-02-02 03:59:59,55
2021-02-02 04:00:04,56
2021-02-02 04:00:09,55
2021-02-02 04:00:14,54
2021-02-02 04:00:19,53
2021-02-02 04:00:29,54
2021-02-02 04:00:34,53
2021-02-02 04:00:39,54
2021-02-02 04:00:44,55
2021-02-02 04:00:49,54
2021-02-02 04:01:04,53
2021-02-02 04:01:09,51
2021-02-02 04:01:19,51
2021-02-02 04:01:24,54
2021-02-02 04:01:29,65
2021-02-02 04:01:34,63
2021-02-02 04:01:39,59
2021-02-02 04:01:44,57
2021-02-02 04:01:49,56
2021-02-02 04:01:54,55
2021-02-02 04:01:59,53
2021-02-02 04:02:09,54
2021-02-02 04:02:24,55
2021-02-02 04:02:39,55
2021-02-02 04:02:49,54
2021-02-02 04:02:54,53
2021-02-02 04:02:59,51
2021-02-02 04:03:09,50
2021-02-02 04:03:14,51
2021-02-02 04:03:19,52
2021-02-02 04:03:29,51
2021-02-02 04:03:34,50
2021-02-02 04:03:49,51
2021-02-02 04:03:59,52
2021-02-02 04:04:14,52
2021-02-02 04:04:24,51
2021-02-02 04:04:29,52
2021-02-02 04:04:44,51
2021-02-02 04:04:59,51
2021-02-02 04:05:09,50
2021-02-02 04:05:14,51
2021-02-02 04:05:24,52
2021-02-02 04:05:39,52
2021-02-02 04:05:49,51
2021-02-02 04:06:04,51
2021-02-02 04:06:19,51
2021-02-02 04:06:34,52
2021-02-02 04:06:39,53
2021-02-02 04:06:44,52
2021-02-02 04:06:54,51
2021-02-02 04:07:09,52
2021-02-02 04:07:24,51
2021-02-02 04:07:29,50
2021-02-02 04:07:44,50
2021-02-02 04:07:49,49
2021-02-02 04:08:04,50
2021-02-02 04:08:19,50
2021-02-02 04:08:24,51
2021-02-02 04:08:29,52
2021-02-02 04:08:44,52
2021-02-02 04:08:49,53
2021-02-02 04:08:54,52
2021-02-02 04:08:59,51
2021-02-02 04:09:09,52
2021-02-02 04:09:14,51
2021-02-02 04:09:19,50
2021-02-02 04:09:34,49
2021-02-02 04:09:49,50
2021-02-02 04:09:59,51
2021-02-02 04:10:14,51
2021-02-02 04:10:24,50
2021-02-02 04:10:39,50
2021-02-02 04:10:44,51
2021-02-02 04:10:49,50
2021-02-02 04:10:54,51
2021-02-02 04:11:09,51
2021-02-02 04:11:24,51
2021-02-02 04:11:39,51
2021-02-02 04:11:49,50
2021-02-02 04:11:54,50
2021-02-02 04:11:59,49
2021-02-02 04:12:09,50
2021-02-02 04:12:24,50
2021-02-02 04:12:29,52
2021-02-02 04:12:34,59
2021-02-02 04:12:39,60
2021-02-02 04:12:49,57
2021-02-02 04:12:54,52
2021-02-02 04:13:04,51
2021-02-02 04:13:19,51
2021-02-02 04:13:24,49
2021-02-02 04:13:29,50
2021-02-02 04:13:34,51
2021-02-02 04:13:39,53
2021-02-02 04:13:44,52
2021-02-02 04:13:59,52
2021-02-02 04:14:14,51
2021-02-02 04:14:29,51
2021-02-02 04:14:44,51
2021-02-02 04:14:49,50
2021-02-02 04:15:04,50
2021-02-02 04:15:19,50
2021-02-02 04:15:23,51
2021-02-02 04:15:28,52
2021-02-02 04:15:33,57
2021-02-02 04:15:38,63
2021-02-02 04:15:43,64
2021-02-02 04:15:53,65
2021-02-02 04:16:03,66
2021-02-02 04:16:08,67
2021-02-02 04:16:13,92
2021-02-02 04:16:18,89
2021-02-02 04:16:23,83
2021-02-02 04:16:28,82
2021-02-02 04:16:33,71
2021-02-02 04:16:38,59
2021-02-02 04:16:43,55
2021-02-02 04:16:48,54
2021-02-02 04:16:53,52
2021-02-02 04:16:58,52
